13472053638218.95312500,
-1758207818343.50610352,
-1758207818343.78271484,
-1758207818343.95263672,
-1758207818343.48950195,
-5447927891066.63671875,
-5447927891066.85253906,
-5447927891067.11718750,
-5447927891066.67187500,
143908347303.90039062,
143908347304.01855469,
143908347304.06835938,
143908347304.06835938,
-2406097217973.51416016,
-2406097217972.58593750,
-2406097217972.63085938,
-2261254332018.68310547,
-2261254332018.39453125,
-2261254332018.47705078,
-1742474726121.01269531,
-1742474726121.28808594,
-1742474726122.05371094,
